# osu-lat-charm.py 1 4194304 1000 500 0 /home/zanef2/charm-mpi-compare +ppn 1 +pemap L0,4
Iteration Group,Message Size,Total Trials,Warmup Trials,Elapsed seconds
140,32,1000,50,1.8104e-06
150,32,1000,50,1.8034000000000002e-06
160,32,1000,50,1.7983e-06
170,32,1000,50,1.7974000000000001e-06
180,32,1000,50,1.7904e-06
190,32,1000,50,1.9536e-06
200,32,1000,50,1.8024e-06
210,32,1000,50,1.7863e-06
220,32,1000,50,1.8084000000000001e-06
230,32,1000,50,1.8314000000000002e-06
240,32,1000,50,1.7984e-06
250,32,1000,50,1.8244e-06
260,32,1000,50,1.8134e-06
270,32,1000,50,1.8254000000000001e-06
280,32,1000,50,1.7864000000000002e-06
290,32,1000,50,1.8164e-06
300,32,1000,50,1.8204000000000002e-06
310,32,1000,50,1.7884e-06
320,32,1000,50,1.8684000000000002e-06
330,32,1000,50,1.7742999999999999e-06
340,32,1000,50,1.8134e-06
350,32,1000,50,1.7953e-06
360,32,1000,50,1.7874e-06
370,32,1000,50,1.7864000000000002e-06
380,32,1000,50,1.8004000000000002e-06
390,32,1000,50,1.8084000000000001e-06
400,32,1000,50,1.7794e-06
410,32,1000,50,1.8245e-06
420,32,1000,50,1.8335e-06
430,32,1000,50,1.7863e-06
440,32,1000,50,1.7923e-06
450,32,1000,50,1.8054000000000001e-06
460,32,1000,50,1.8124e-06
470,32,1000,50,1.8325e-06
480,32,1000,50,1.7864000000000002e-06
490,32,1000,50,1.7793e-06
500,32,1000,50,1.8054000000000001e-06
510,32,1000,50,1.7814e-06
520,32,1000,50,1.8124e-06
530,32,1000,50,1.7954e-06
540,32,1000,50,1.8144000000000002e-06
550,32,1000,50,1.7934e-06
560,32,1000,50,1.7964e-06
570,32,1000,50,1.8034000000000002e-06
580,32,1000,50,1.8325e-06
590,32,1000,50,1.8044e-06
600,32,1000,50,1.7944000000000001e-06
610,32,1000,50,1.7924000000000002e-06
620,32,1000,50,1.7974000000000001e-06
630,32,1000,50,1.7884e-06
640,32,1000,50,1.8625e-06
650,32,1000,50,1.9908e-06
660,32,1000,50,1.8024e-06
670,32,1000,50,1.7873e-06
680,32,1000,50,2.2461999999999998e-06
690,32,1000,50,1.7994e-06
700,32,1000,50,1.8064000000000002e-06
710,32,1000,50,1.7773e-06
720,32,1000,50,1.7813e-06
730,32,1000,50,1.8074e-06
740,32,1000,50,1.8245e-06
750,32,1000,50,1.7843e-06
760,32,1000,50,1.8815e-06
770,32,1000,50,1.8204000000000002e-06
780,32,1000,50,1.7924000000000002e-06
790,32,1000,50,2.3585e-06
800,32,1000,50,1.7994e-06
810,32,1000,50,1.8054000000000001e-06
820,32,1000,50,1.8195e-06
830,32,1000,50,1.7843e-06
840,32,1000,50,1.7843e-06
850,32,1000,50,1.8083e-06
860,32,1000,50,1.8104e-06
870,32,1000,50,1.9295999999999997e-06
880,32,1000,50,1.8184e-06
890,32,1000,50,1.8124e-06
900,32,1000,50,1.8365e-06
910,32,1000,50,1.8064000000000002e-06
920,32,1000,50,1.8114000000000001e-06
930,32,1000,50,1.7994e-06
940,32,1000,50,1.7974000000000001e-06
950,32,1000,50,1.7994e-06
960,32,1000,50,1.7824e-06
970,32,1000,50,1.7954e-06
980,32,1000,50,1.7934e-06
990,32,1000,50,1.7944000000000001e-06
1000,32,1000,50,1.8114000000000001e-06
1010,32,1000,50,1.7984e-06
1020,32,1000,50,1.7864000000000002e-06
1030,32,1000,50,1.8154e-06
1040,32,1000,50,1.8054000000000001e-06
0,64,1000,50,1.8494e-06
10,64,1000,50,1.7984e-06
20,64,1000,50,1.7964e-06
30,64,1000,50,1.7873e-06
40,64,1000,50,1.7712999999999999e-06
50,64,1000,50,1.8185e-06
60,64,1000,50,1.7904e-06
70,64,1000,50,1.8044e-06
80,64,1000,50,1.7813e-06
90,64,1000,50,1.7964e-06
100,64,1000,50,1.7793e-06
110,64,1000,50,1.7874e-06
120,64,1000,50,1.7964e-06
130,64,1000,50,1.7874e-06
140,64,1000,50,1.7833e-06
150,64,1000,50,1.8154e-06
160,64,1000,50,1.7863e-06
170,64,1000,50,2.3524e-06
180,64,1000,50,1.7904e-06
190,64,1000,50,1.7893e-06
200,64,1000,50,1.8214e-06
210,64,1000,50,1.7754000000000002e-06
220,64,1000,50,1.7904e-06
230,64,1000,50,1.7873e-06
240,64,1000,50,1.7873e-06
250,64,1000,50,2.0328e-06
260,64,1000,50,1.7834000000000002e-06
270,64,1000,50,1.8165e-06
280,64,1000,50,1.8094e-06
290,64,1000,50,1.8064000000000002e-06
300,64,1000,50,1.8194e-06
310,64,1000,50,1.7914000000000001e-06
320,64,1000,50,1.8134e-06
330,64,1000,50,1.7994e-06
340,64,1000,50,1.7903e-06
350,64,1000,50,1.7964e-06
360,64,1000,50,1.8025e-06
370,64,1000,50,1.8515e-06
380,64,1000,50,1.7724000000000002e-06
390,64,1000,50,1.8094e-06
400,64,1000,50,1.7934e-06
410,64,1000,50,1.8014e-06
420,64,1000,50,1.7953e-06
430,64,1000,50,1.7873e-06
440,64,1000,50,1.8185e-06
450,64,1000,50,1.7973e-06
460,64,1000,50,1.7894000000000002e-06
470,64,1000,50,1.8274e-06
480,64,1000,50,1.8294e-06
490,64,1000,50,1.8295e-06
500,64,1000,50,1.7983e-06
510,64,1000,50,1.7924000000000002e-06
520,64,1000,50,1.8404e-06
530,64,1000,50,1.7964e-06
540,64,1000,50,1.8414e-06
550,64,1000,50,2.2181e-06
560,64,1000,50,1.7973e-06
570,64,1000,50,1.8284000000000001e-06
580,64,1000,50,1.8144000000000002e-06
590,64,1000,50,1.7974000000000001e-06
600,64,1000,50,1.7984e-06
610,64,1000,50,1.7954e-06
620,64,1000,50,1.8014e-06
630,64,1000,50,1.8044e-06
640,64,1000,50,1.8114000000000001e-06
650,64,1000,50,1.7924000000000002e-06
660,64,1000,50,1.8735e-06
670,64,1000,50,1.7733e-06
680,64,1000,50,1.7834000000000002e-06
690,64,1000,50,1.8294e-06
700,64,1000,50,1.8074e-06
710,64,1000,50,1.7974000000000001e-06
720,64,1000,50,1.8214e-06
730,64,1000,50,1.7864000000000002e-06
740,64,1000,50,2.0238e-06
750,64,1000,50,1.8034000000000002e-06
