# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by core --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_intrasocket
[c476-101.stampede2.tacc.utexas.edu:190832] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:190832] MCW rank 1 bound to socket 0[core 1[hwt 0-1]]: [../BB/../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
Process,Msg Size, Iterations, Bandwidth (MB/s)
# /home1/08302/tg876011/.local/ompi/bin/mpirun -np 2 --map-by core --bind-to core --report-bindings python3 /home1/08302/tg876011/charm-mpi-compare/microbenchmarks/osu-bw-mpi.py 1 4194304 64 1000 100 mpi_bw_intrasocket
[c476-101.stampede2.tacc.utexas.edu:196812] MCW rank 0 bound to socket 0[core 0[hwt 0-1]]: [BB/../../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
[c476-101.stampede2.tacc.utexas.edu:196812] MCW rank 1 bound to socket 0[core 1[hwt 0-1]]: [../BB/../../../../../../../../../../../../../../../../../../../../../..][../../../../../../../../../../../../../../../../../../../../../../../..]
Process,Msg Size, Iterations, Bandwidth (MB/s)
0,1,1000,1.0369648919523247
0,2,1000,2.1378391208436764
0,4,1000,4.210759281813139
0,8,1000,8.468865020921072
0,16,1000,16.60372686643208
0,32,1000,31.14227694501431
0,64,1000,61.00329314575606
0,128,1000,124.54581854591095
0,256,1000,242.24478626923923
0,512,1000,485.3585278357497
0,1024,1000,943.6040196460334
0,2048,1000,1799.6564576260487
0,4096,1000,3367.7315181236736
0,8192,1000,5350.806166061682
0,16384,100,5707.560121729984
0,32768,100,8675.23145966829
0,65536,100,11900.717910075888
0,131072,100,13995.186854127156
0,262144,100,15581.886789883141
0,524288,100,14719.752906363323
0,1048576,100,12242.48932953157
0,2097152,100,10171.48267945535
0,4194304,100,10182.590699401873
